name,x,y,z,day,time
RS_D1,1005.626,1005.371,-3.782,7/9/11,11:07:35 AM
RS_D2,1003.473,1003.382,-4.502,7/9/11,11:10:33 AM
RS_D3,1000.656,1006.226,-3.252,7/9/11,11:12:12 AM
RS_D4,1007.397,1006.331,-3.337,7/9/11,11:32:31 AM
RS_D5,1008.185,1011.505,-1.293,7/9/11,11:52:06 AM
BDT1-A,1001.714,1008.637,-6.882,7/14/17,10:11:30 AM
BDT1-B,1001.719,1008.826,-6.879,7/14/17,10:11:47 AM
BDT1-C,1001.755,1009.019,-6.923,7/14/17,10:12:24 AM
BDT1-D,1001.751,1008.619,-7.038,7/14/17,10:13:17 AM
BDT1-E,1001.749,1008.763,-7.017,7/14/17,10:15:45 AM
BDT1-F,1001.759,1008.93,-6.977,7/14/17,10:16:44 AM
BDT1-G,1001.77,1009.15,-6.998,7/14/17,10:17:37 AM
BLK1DAT-1,1001.676,1008.581,-6.856,7/18/17,9:54:58 AM
BLKDAT-2,1001.678,1008.851,-6.832,7/18/17,9:55:31 AM
BLKDAT-3,1001.683,1009.113,-6.857,7/18/17,9:56:04 AM
BLKDAT-4,1001.679,1008.646,-6.959,7/18/17,9:56:36 AM
BLKDAT-5,1001.679,1008.805,-6.954,7/18/17,9:56:59 AM
BLKDAT-6,1001.682,1009.035,-6.934,7/18/17,9:57:25 AM
BLKDAT-7,1001.687,1009.228,-6.94,7/18/17,9:58:05 AM
BLKDAT-8,1001.678,1008.605,-7.031,7/18/17,9:58:28 AM
BLKDAT-9,1001.68,1008.847,-7.02,7/18/17,9:58:51 AM
BLKDAT-10,1001.684,1009.128,-7.003,7/18/17,9:59:19 AM