Unit,ID,SUFFIX,MinX,MaxX,MinY,MaxY,CenterX,CenterY,Radius,SITENAME,CODE,EXCAVATOR,LEVEL,FEATURE,PRISM,BUCKETUNIT,BUCKETID
A1,    0,0,100,101,100,101,,,,LA FERRASIE,TAMIS,DAFNE,TOPO, ,0, , 
A14,    4,,113,114,100,101,,,,,,,,,,,
A15,   85,,114,115,100,101,,,,0,, ,, ,0.1,,
A2,    0,0,101,102,100,101,,,,,,,,,0,,
A3,    0,0,102,103,100,101,,,,La Ferrassie,TAMIS,DENNIS SANDGATHE,TOPO,NONE,0,A3,1
A4,    0,0,103,104,100,101,,,,,,,,,,,
A5,    0,0,104,105,100,101,,,,,,,,,,,
A6,    0,0,105,106,100,101,,,,,,,,,,,
A7,    0,0,106,107,100,101,,,,,,,,,,,
A8,    0,0,107,108,100,101,,,,,,,,,,,
AMONT,    1,,-99999,-99999,-99999,-99999,,,,LA FERRASIE, ,ALAIN TURQ, , ,0,,
AVAL,    1,,-99999,-99999,-99999,-99999,,,,LA FERRASIE,SILEX,PAUL GOLDBERG,GRAVEL,NONE,0,,
B1,    0,0,100,101,101,102,,,,,,,,,,,
B14,    0,,113,114,101,102,,,,,,,,,,,
B15,   20,,114,115,101,102,,,,,,,,,,,
COUPE,  137,0,-99999,-99999,-99999,-99999,,,,0,,TORY,, ,0.1,,
dosim,  110,,0,0,0,0,0,0,0,,,,,,,,
E3,    0,0,102,103,104,105,,,,,,,,,,,
E4,    0,0,103,104,104,105,,,,,,,,,,,
E5,    0,0,104,105,104,105,,,,,,,,,,,
E6,    0,0,105,106,104,105,,,,,,,,,,,
E7,    0,0,106,107,104,105,,,,,,,,,,,
E8,    0,0,107,108,104,105,,,,,,,,,,,
F3,    0,0,102,103,105,106,,,,,,,,,,,
F4,    0,0,103,104,105,106,,,,,,,,,,,
F5,    0,0,104,105,105,106,,,,,,,,,,,
F6,  613,0,105,106,105,106,,,,LA FERRASIE,TAMIS,LAURA,I-3,NONE,0,,
F7,822,0,106,107,105,106,,,, ,SILEX,GRACE,2, ,0.01,F7,436
F8,   69,0,107,108,105,106,,,, ,TAMIS,Matt,3, ,0.05,F7,436
FER10,    0,,-99999,-99999,-99999,-99999,,,,,,,,,,,
ferosl,   13,,0,0,0,0,0,0,0,LA FERRASIE,OSL,GUILLAUME GUERIN,I-3, ,0,,
G10,    0,,109,110,106,107,,,,,,,,,,,
G3,    0,0,102,103,106,107,,,,,,,,,,,
G4,    0,0,103,104,106,107,,,,,,,,,,,
G5,    0,0,104,105,106,107,,,,,,,,,,,
G6,  816,0,105,106,106,107,,,,LA FERRASIE,SILEX,KENDRA,I-2,NONE,0.01,,
G7,275,0,106,107,106,107,,,,LA FERRASSIE,oldwall,NATALIE,wall, ,0,H7,21
G8,    3,0,107,108,106,107,,,, , , , , ,0, , 
G9,    0,,108,109,106,107,,,,,,,,,,,
H10,5,,109,110,107,108,,,,,,,,,,,
H3,   85,0,102,103,107,108,,,, ,OS,BB,4, ,0.1,I3,1986
H4,15,0,103,104,107,108,,,,LA FERRASSIE,,ANNAF,, ,0.01,,
H5,   84,0,104,105,107,108,,,, ,OS,BEEBE,, ,0.01,,
H6,  556,0,105,106,107,108,,,, ,SILEX,DENNIS,I-3, ,0,,
H7,112,0,106,107,107,108,,,,LA FERRASSIE,TAMIS,NATALIE,1, ,0,H7,25
H8,    0,0,107,108,107,108,,,,,,,,,,,
H9,5,,108,109,107,108,,,,,,,,,,,
I2,  144,,101,102,108,109,,,, ,NATURAL,JONATHAN,4, ,0.4,I3,1986
I3, 2273,0,102,103,108,109,,,, ,TAMIS,LIA,4, ,0.4,I3,1986
I4,2215,0,103,104,108,109,,,,LA FERRASSIE,TAMIS,AYLAR,4, ,0.01,I3,1986
I5, 1185,0,104,105,108,109,,,, ,TAMIS,BEEBE,1, ,0.01,I5,1053
I6,  601,0,105,106,108,109,,,, ,NATURAL,DENNIS,1, ,0,I5,1051
I7,38,0,106,107,108,109,,,,LA FERRASIE,TAMIS,DENNIS,1, ,0,I7,10
I8,    0,0,107,108,108,109,,,,,,,,,,,
J2,  345,,101,102,109,110,,,,,,,,,,,
J3,2677,0,102,103,109,110,,,, ,TAMIS,JONATHAN,7a, ,0,K3,1835
J4,   95,0,103,104,109,110,,,, ,SILEX,KAYLA,4, ,0.01,I4,1447
J5,    1,0,104,105,109,110,,,, ,MICROSED,VERA ALDEIAS,4, ,0, , 
J6,  285,0,105,106,109,110,,,, ,TAMIS,DENNIS,I-2, ,0,,
J7,    1,0,106,107,109,110,,,,LA FERRASIE,TAMIS,KRIS,1, ,0.1,I7,7
J8,    0,0,107,108,109,110,,,,,,,,,,,
K2,   15,,101,102,110,111,,,, ,OS,JONATHAN,7a, ,0.01,K3,1343
K3,3383,0,102,103,110,111,,,, ,TAMIS,KAYLA,6, ,0.05,K3,1961
K4,41,0,103,104,110,111,,,, ,SILEX,DAFNE,3, ,0.05,L4,2134
K5,   74,0,104,105,110,111,,,, ,TAMIS,KAYLA,3, ,0,L4,2134
K6,  219,0,105,106,110,111,,,, ,OS,DENNIS,II-4, ,0,,
K7,   30,0,106,107,110,111,,,,,,,,,0.05,,
K8,    0,0,107,108,110,111,,,,LA FERRASIE,TOPO,DENNIS SANDGATHE,FALAISE,NONE,0,,
L1,    0,0,100,101,111,112,,,,,,,,,,,
L2,    0,0,101,102,111,112,,,,,,,,,,,
L3,1252,0,102,103,111,112,,,, ,LEVELTOP,KAYLA,5b, ,0.05,L4,2087
L4,2995,0,103,104,111,112,,,, ,SILEX,DAFNE,5b, ,0.05,L4,2087
L5, 1192,0,104,105,111,112,,,, ,TAMIS,Dafne,3, ,0,L5,1171
L6,  500,0,105,106,111,112,,,, ,SILEX,DENNIS,3, ,0,L5,1143
L7,    0,0,106,107,111,112,,,,,,,,,,,
L8,    0,0,107,108,111,112,,,,,,,,,,,
LAF,   30,0,-99999,-99999,-99999,-99999,,,,LA FERRASSIE,SILEX,JESS,wall, ,0.457, , 
LAF8,  769,0,-99999,-99999,-99999,-99999,,,,LA FERRASSIE,,KRIS,, ,0,,
LAFPG,  403,0,-99999,-99999,-99999,-99999,,,, ,MICROSED,KRIS,unknown, ,0,I5,908
LAGANE,    0,,-99999,-99999,-99999,-99999,,,,,,,,,,,
M1,    0,0,100,101,112,113,,,,,,,,,,,
M2,    0,0,101,102,112,113,,,,,,,,,,,
M3,93,0,102,103,112,113,,,, ,,NATALIE,, ,0.1,,
M4,    1,0,103,104,112,113,,,,,,,,,,,
M5,    0,0,104,105,112,113,,,,,,,,,,,
M6,    0,0,105,106,112,113,,,,,,,,,,,
M7,    0,0,106,107,112,113,,,,,,,,,,,
M8,    0,0,107,108,112,113,,,,,,,,,,,
N1,    0,0,100,101,113,114,,,,,,,,,,,
N2,    0,0,101,102,113,114,,,,,,,,,,,
N3,    0,0,102,103,113,114,,,,,,,,,,,
N4,    0,0,103,104,113,114,,,,,,,,,,,
N5,    0,0,104,105,113,114,,,,,,,,,,,
N6,    0,0,105,106,113,114,,,,,,,,,,,
N7,    0,0,106,107,113,114,,,,,,,,,,,
N8,    0,0,107,108,113,114,,,,,,,,,,,
O1,    0,0,100,101,114,115,,,,,,,,,,,
O2,    0,0,101,102,114,115,,,,,,,,,,,
O3,    0,0,102,103,114,115,,,,,,,,,,,
O4,    0,0,103,104,114,115,,,,,,,,,,,
O5,    0,0,104,105,114,115,,,,,,,,,,,
O6,    0,0,105,106,114,115,,,,,,,,,,,
O7,    0,0,106,107,114,115,,,,,,,,,,,
O8,    0,0,107,108,114,115,,,,,,,,,,,
P1,    0,,100,101,115,116,,,,,,,,,,,
P2,    0,,101,102,115,116,,,,,,,,,,,
P3,    0,,102,103,115,116,,,,,,,,,,,
P4,    2,,103,104,115,116,,,,,,,,,,,
P5,    0,,104,105,115,116,,,,,,,,,,,
P6,    0,,105,106,115,116,,,,,,,,,,,
P7,    0,,106,107,115,116,,,,,,,,,,,
P8,    0,,107,108,115,116,,,,,,,,,,,
Q1,    0,,100,101,116,117,,,,,,,,,,,
Q2,    0,,101,102,116,117,,,,,,,,,,,
Q3,    0,,102,103,116,117,,,,,,,,,,,
Q4,    0,,103,104,116,117,,,,,,,,,,,
Q5,    0,,104,105,116,117,,,,,,,,,,,
Q6,    0,,105,106,116,117,,,,,,,,,,,
Q7,    0,,106,107,116,117,,,,,,,,,,,
Q8,    0,,107,108,116,117,,,,,,,,,,,
R1,    0,,100,101,117,118,,,,,,,,,,,
R2,    0,,101,102,117,118,,,,,,,,,,,
R3,    0,,102,103,117,118,,,,,,,,,,,
R4,    0,,103,104,117,118,,,,,,,,,,,
R5,    0,,104,105,117,118,,,,,,,,,,,
R6,    0,,105,106,117,118,,,,,,,,,,,
R7,    0,,106,107,117,118,,,,,,,,,,,
R8,    0,,107,108,117,118,,,,,,,,,,,
S1,    0,,100,101,118,119,,,,,,,,,,,
S2,    0,,101,102,118,119,,,,,,,,,,,
S3,    0,,102,103,118,119,,,,,,,,,,,
S4,    0,,103,104,118,119,,,,,,,,,,,
S5,    0,,104,105,118,119,,,,,,,,,,,
S6,    0,,105,106,118,119,,,,,,,,,,,
S7,    0,,106,107,118,119,,,,,,,,,,,
S8,    0,,107,108,118,119,,,,,,,,,,,
SOND1,   20,0,111,112,103,104,,,, ,TAMIS,Didier,1, ,0.4, , 
T1,    0,,100,101,119,120,,,,,,,,,,,
T2,    0,,101,102,119,120,,,,,,,,,,,
T3,    0,,102,103,119,120,,,,,,,,,,,
T4,    0,,103,104,119,120,,,,,,,,,,,
T5,    0,,104,105,119,120,,,,,,,,,,,
T6,    0,,105,106,119,120,,,,,,,,,,,
T7,    0,,106,107,119,120,,,,,,,,,,,
T8,    0,,107,108,119,120,,,,,,,,,,,
U1,    0,,100,101,120,121,,,,,,,,,,,
U2,    0,,101,102,120,121,,,,,,,,,,,
U3,    0,,102,103,120,121,,,,,,,,,,,
U4,    0,,103,104,120,121,,,,,,,,,,,
U5,    0,,104,105,120,121,,,,,,,,,,,
U6,    0,,105,106,120,121,,,,,,,,,,,
U7,    0,,106,107,120,121,,,,,,,,,,,
U8,    0,,107,108,120,121,,,,,,,,,,,
